leadtime,number,time,tprate
5,3,2010-02-01,1.7467275151281123
5,3,2011-02-01,1.8726231600903043
5,3,2012-02-01,3.891526832595027
5,3,2013-02-01,1.7182260289762106
5,3,2014-02-01,1.2101588137047514
5,3,2015-02-01,3.4478680538800397
5,3,2016-02-01,2.102526116313411
5,4,1982-02-01,4.4320268062539325
5,4,1983-02-01,1.8355350922965026
5,4,1984-02-01,2.8378491193884825
5,4,1985-02-01,3.249455639444179
5,4,1986-02-01,3.752524322190338
5,4,1987-02-01,2.096696270645601
5,4,1988-02-01,2.671922809865436
5,4,1989-02-01,1.920247757393055
5,4,1990-02-01,1.1235851715800647
5,4,1991-02-01,1.9722307980204816
5,4,1992-02-01,2.565449642518035
5,4,1993-02-01,4.335002862633392
5,4,1994-02-01,4.097775181171844
5,4,1995-02-01,1.3469014234316516
5,4,1996-02-01,1.6865293202875953
5,4,1997-02-01,1.285841280238646
5,4,1998-02-01,2.6779534682287545
5,4,1999-02-01,3.1035546799175537
5,4,2000-02-01,1.306018722023796
5,4,2001-02-01,1.5747436852243784
5,4,2002-02-01,2.3703564710435874
5,4,2003-02-01,3.211456706270288
5,4,2004-02-01,3.274209017938486
5,4,2005-02-01,2.9366936671823956
5,4,2006-02-01,1.7142371257270703
5,4,2007-02-01,2.0957372511864842
5,4,2008-02-01,1.9071226855914625
5,4,2009-02-01,3.0233637365821053
5,4,2010-02-01,3.9406384380233828
5,4,2011-02-01,2.129687457406572
5,4,2012-02-01,3.9593145903703313
5,4,2013-02-01,2.710743797071271
5,4,2014-02-01,2.346133651634324
5,4,2015-02-01,2.3305004422636086
5,4,2016-02-01,0.8434163656413329
5,5,1982-02-01,1.7037379479222046
5,5,1983-02-01,2.049956949441774
5,5,1984-02-01,3.409730857070123
5,5,1985-02-01,1.727074861485547
5,5,1986-02-01,2.698691467788436
5,5,1987-02-01,3.723726552128132
5,5,1988-02-01,2.877934807045888
5,5,1989-02-01,1.8559685912805135
5,5,1990-02-01,2.046148144922808
5,5,1991-02-01,1.8530034719665764
5,5,1992-02-01,4.0742474853629265
5,5,1993-02-01,3.3738231652738153
5,5,1994-02-01,3.230110659384723
5,5,1995-02-01,0.587818352336139
5,5,1996-02-01,2.392488359272274
5,5,1997-02-01,2.4840332691795872
5,5,1998-02-01,3.938093943705878
5,5,1999-02-01,1.8544773456595858
5,5,2000-02-01,3.2549455950262263
5,5,2001-02-01,3.347771457023271
5,5,2002-02-01,2.843332214256469
5,5,2003-02-01,2.3863570215302894
5,5,2004-02-01,1.951732070017489
5,5,2005-02-01,2.359355518836661
5,5,2006-02-01,1.2542619946059022
5,5,2007-02-01,2.4936221459341703
5,5,2008-02-01,1.9289233548479854
5,5,2009-02-01,0.39245513370671353
5,5,2010-02-01,3.6844728660316233
